,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,420,Bull,1.1037,1.1026,1.1028,2020-01-16 20:00:00,2020-01-20 23:00:00,2020-01-21 21:00:00,2020-01-24 00:00:00,2020-01-24 16:00:00,2020-01-24 20:00:00,422,1.104,1.1029,1.1031,2020-01-24 22:00:00
1,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,420,Bull,1.1037,1.1026,1.1028,2020-01-16 20:00:00,2020-01-22 23:00:00,2020-01-23 21:00:00,2020-01-24 00:00:00,2020-01-24 16:00:00,2020-01-24 20:00:00,422,1.104,1.1029,1.1031,2020-01-24 22:00:00
2,349,Bear,1.1118,1.1108,1.1114,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,420,Bull,1.1037,1.1026,1.1028,2020-01-21 21:00:00,2020-01-22 23:00:00,2020-01-23 21:00:00,2020-01-24 00:00:00,2020-01-24 16:00:00,2020-01-24 20:00:00,422,1.104,1.1029,1.1031,2020-01-24 22:00:00
3,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,2020-01-16 20:00:00,2020-01-20 23:00:00,2020-01-21 21:00:00,2020-01-24 00:00:00,2020-01-24 16:00:00,2020-01-25 00:00:00,427,1.1033,1.1028,1.103,2020-01-25 03:00:00
4,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,2020-01-16 20:00:00,2020-01-22 23:00:00,2020-01-23 21:00:00,2020-01-24 00:00:00,2020-01-24 16:00:00,2020-01-25 00:00:00,427,1.1033,1.1028,1.103,2020-01-25 03:00:00
5,349,Bear,1.1118,1.1108,1.1114,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,2020-01-21 21:00:00,2020-01-22 23:00:00,2020-01-23 21:00:00,2020-01-24 00:00:00,2020-01-24 16:00:00,2020-01-25 00:00:00,427,1.1033,1.1028,1.103,2020-01-25 03:00:00
6,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,441,Bull,1.1028,1.1015,1.1021,2020-01-16 20:00:00,2020-01-20 23:00:00,2020-01-21 21:00:00,2020-01-24 00:00:00,2020-01-24 16:00:00,2020-01-27 17:00:00,445,1.1032,1.1022,1.1027,2020-01-27 21:00:00
7,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,441,Bull,1.1028,1.1015,1.1021,2020-01-16 20:00:00,2020-01-20 23:00:00,2020-01-21 21:00:00,2020-01-25 00:00:00,2020-01-27 15:00:00,2020-01-27 17:00:00,445,1.1032,1.1022,1.1027,2020-01-27 21:00:00
8,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,441,Bull,1.1028,1.1015,1.1021,2020-01-16 20:00:00,2020-01-22 23:00:00,2020-01-23 21:00:00,2020-01-24 00:00:00,2020-01-24 16:00:00,2020-01-27 17:00:00,445,1.1032,1.1022,1.1027,2020-01-27 21:00:00
9,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,441,Bull,1.1028,1.1015,1.1021,2020-01-16 20:00:00,2020-01-22 23:00:00,2020-01-23 21:00:00,2020-01-25 00:00:00,2020-01-27 15:00:00,2020-01-27 17:00:00,445,1.1032,1.1022,1.1027,2020-01-27 21:00:00
